EventID,Sum Of NHoles,Sum Of NMorts
2,100,4
3,,
13,100,0
14,200,9
16,250,19
18,100,1
21,100,0
24,200,5
27,100,7
28,100,3
29,200,5
30,100,4
31,200,9
32,200,7
34,100,5
38,100,1
41,100,1
80,100,5
128,50,2
130,40,1
131,100,2
138,200,8
139,90,7
142,200,17
145,100,4
146,200,27
150,300,19
151,300,11
152,200,21
153,100,4
154,300,9
156,150,4
157,200,2
158,300,23
160,200,10
162,200,12
163,100,5
182,100,4
251,100,5
252,200,4
254,300,13
256,100,8
258,200,6
259,100,3
263,100,3
264,200,9
266,100,6
267,300,3
268,200,9
269,230,4
270,100,5
271,200,8
274,100,14
275,300,9
276,100,2
278,100,3
282,100,4
299,100,1
301,100,5
303,200,30
304,250,7
309,100,6
313,200,3
325,100,4
330,100,4
331,100,5
347,200,3
349,200,2
351,150,8
352,230,18
353,101,2
354,200,2
355,200,7
356,200,6
357,200,8
360,200,16
361,200,11
362,200,8
363,100,5
364,300,17
365,300,15
366,200,4
368,150,4
371,100,5
372,200,9
373,200,2
374,100,5
376,100,8
380,300,5
381,400,16
382,300,6
383,300,34
384,300,13
385,300,18
386,200,3
387,200,7
388,300,2
389,300,2
415,300,1
416,200,8
417,150,3
418,50,1
446,250,6
453,150,4
454,100,2
455,100,5
459,100,9
474,50,0
475,100,3
484,200,7
499,200,21
502,500,36
503,130,11
518,314,7
519,115,0
520,439,10
525,100,1
531,200,16
535,306,4
536,100,2
537,350,10
538,700,45
540,100,3
541,100,1
542,100,3
543,100,3
544,200,1
545,200,1
551,100,5
552,300,6
553,250,10
554,100,2
555,500,44
558,200,7
563,300,10
565,300,4
567,300,6
568,100,1
571,200,19
600,200,4
601,50,4
661,100,1
664,100,1
668,109,5
675,300,13
678,100,0
695,100,11
706,100,7
708,200,16
711,300,18
714,100,11
718,100,1
719,200,13
720,200,7
721,200,6
722,300,21
723,400,13
724,200,12
725,40,2
726,100,8
727,100,13
728,300,12
729,100,0
731,100,1
734,200,7
735,100,3
737,300,11
740,100,5
745,200,14
746,200,10
747,200,8
748,200,8
749,200,7
750,200,7
751,300,25
752,300,16
753,200,5
754,200,6
755,160,18
756,,
757,80,2
758,50,0
760,200,6
761,100,7
762,200,14
766,200,16
767,400,34
768,100,6
771,270,21
776,100,4
781,300,12
783,300,12
786,200,5
787,100,5
788,200,13
789,50,5
791,200,6
793,300,2
800,100,6
801,400,10
802,200,1
803,200,16
805,300,14
806,200,6
808,100,1
811,100,1
812,200,3
816,300,13
818,200,5
819,200,5
836,100,2
844,200,7
846,100,0
859,200,6
865,100,0
867,200,1
876,200,4
877,50,2
879,100,1
880,100,5
884,50,2
885,100,2
886,100,2
904,300,5
905,100,3
906,100,0
911,300,3
917,200,3
918,200,5
919,100,1
920,190,3
921,200,7
923,300,5
926,200,4
930,50,1
933,100,4
934,200,6
940,100,1
941,100,2
943,100,5
944,200,6
945,100,2
946,100,5
947,100,2
950,200,8
951,300,7
952,100,4
953,400,8
954,295,10
957,200,0
962,300,7
963,500,2
964,300,12
965,100,4
967,100,2
970,150,7
972,100,0
976,200,5
977,300,16
978,200,4
985,200,7
986,150,19
987,100,1
988,200,7
989,202,9
990,100,5
992,100,4
993,150,14
994,300,32
995,200,24
997,200,10
998,250,18
999,300,14
1000,300,12
1001,200,11
1002,100,8
1003,100,2
1004,100,9
1005,200,15
1006,200,10
1008,200,10
1010,100,16
1011,200,6
1012,200,11
1013,300,14
1014,100,4
1017,150,14
1018,150,10
1019,200,29
1021,100,4
1024,100,6
1029,50,0
1033,100,6
1034,50,2
1050,100,1
1062,50,6
1070,100,2
1086,150,8
1088,100,1
1089,100,3
1098,100,0
1099,100,4
1101,100,5
1102,200,2
1103,100,2
1111,100,6
1118,200,12
1119,200,1
1138,100,0
1139,300,4
1140,150,6
1141,300,5
1143,100,9
1146,100,2
1150,300,19
1151,300,28
1158,100,2
1162,100,3
1164,200,27
1166,100,4
1172,300,5
1173,100,3
1174,100,2
1177,200,4
1178,200,14
1179,100,3
1186,100,13
1190,300,11
1195,100,2
1196,300,11
1198,100,1
1202,200,11
1203,200,1
1204,100,2
1207,300,13
1208,100,4
1210,100,2
1216,200,6
1272,300,5
1285,100,1
1287,200,6
1288,400,9
1290,300,15
1291,200,7
1295,100,2
1296,150,5
1297,100,2
1299,100,4
1305,100,2
1309,200,4
1311,100,3
1314,300,9
1315,210,4
1317,100,0
1321,100,4
1324,100,5
1325,300,14
1372,100,0
1386,93,1
1388,100,4
1391,100,2
1392,100,6
1408,100,5
1413,100,5
1424,100,3
1426,100,3
1428,100,2
1434,200,7
1435,200,19
1436,200,6
1437,100,3
1439,100,3
1442,200,7
1443,100,2
1444,200,13
1475,200,14
1507,0,0
1509,200,11
1512,100,1
1514,100,2
1515,100,2
1595,200,9
1596,200,10
1600,100,5
1604,100,2
1610,100,5
1611,200,13
1613,100,13
1617,100,6
1618,100,6
1619,200,10
1621,200,14
1622,200,9
1623,200,9
1624,100,4
1625,250,7
1722,50,6
1742,300,21
1743,150,14
1744,100,4
1745,100,8
1746,200,19
1747,100,7
1748,400,11
1763,350,8
1767,400,10
1768,200,7
1773,200,11
1779,100,1
1780,200,4
1782,100,7
1785,50,3
1798,100,1
1870,100,1
1871,100,2
1909,200,9
1910,100,6
1931,100,1
1983,100,0
1984,100,1
1985,150,3
1986,100,1
1991,100,1
1994,100,1
1995,100,1
1996,50,0
1997,200,4
2004,100,2
2013,50,1
2015,100,0
2018,100,0
2033,100,7
2034,200,5
2040,50,1
2068,100,0
2080,100,1
2081,100,2
2111,100,1
2115,100,1
2116,100,3
2117,100,0
2119,150,3
2125,100,1
2128,100,2
2130,100,0
2132,100,1
2134,100,3
2150,100,6
2151,100,7
2153,50,3
2159,100,1
2163,100,5
2169,50,3
2170,100,6
2171,100,6
2172,100,6
2174,200,6
2175,50,2
2268,50,0
2269,50,2
2284,100,1
2293,100,1
2301,50,0
2302,300,3
2303,100,2
2304,100,1
2305,200,3
2312,300,3
2313,200,7
2317,300,6
2321,200,5
2325,200,5
2326,400,8
2327,50,2
2328,150,4
2329,200,4
2331,100,1
2332,100,0
2333,100,1
2335,100,3
2336,100,0
2344,100,2
2352,100,2
2355,100,3
2356,50,2
2357,100,0
2371,75,1
2380,100,2
2385,50,0
2386,100,2
2387,100,1
2396,200,4
2398,100,1
2399,100,1
2410,50,1
2425,400,5
2436,50,2
2441,50,1
2442,200,2
2443,50,1
2444,100,2
2453,150,4
2454,100,1
2455,50,0
2456,200,1
2457,200,5
2469,200,7
2470,100,0
2471,100,5
2473,100,0
2476,100,1
2477,50,2
2492,100,2
2514,100,3
2516,50,2
2517,200,4
2518,200,3
2519,200,1
2522,100,1
2528,150,7
2529,200,3
2533,200,2
2537,50,2
2539,200,1
2540,100,1
2544,200,3
2545,200,0
2546,200,2
2547,200,3
2548,200,5
2551,50,1
2553,50,1
2562,100,0
2568,100,0
2571,200,1
2572,100,1
2573,200,1
2574,50,2
2575,100,5
2577,100,1
2578,50,1
2588,100,4
2589,50,1
2603,50,1
2604,100,2
2605,100,0
2627,50,2
2629,150,2
2630,200,0
2631,50,3
2633,50,2
2638,50,0
2650,100,0
2651,50,1
2652,100,1
2653,100,1
2654,100,4
2655,50,2
2667,100,2
2668,50,1
2681,100,1
2682,50,2
2683,100,1
2685,100,0
2691,50,1
2694,100,2
2696,100,1
2699,100,0
2707,100,0
2708,100,2
2709,50,1
2724,300,1
2726,50,2
2727,100,3
2729,100,3
2735,50,1
2736,100,1
2738,100,0
2740,50,1
2743,100,0
2747,50,1
2748,200,2
2749,100,5
2751,100,1
2752,200,3
2753,100,3
2754,200,10
2755,200,5
2756,100,2
2757,100,3
2760,100,1
2761,200,10
2763,50,2
2765,200,3
2766,100,0
2767,100,0
2768,100,2
2769,100,0
2770,100,0
2771,100,0
2772,150,4
2774,100,2
2775,150,3
