target,donor,n,median ratio (imputed/actual),sd of log error,MAPE %,5th pct ratio,95th pct ratio
Copalis,Long Beach,186,1.0107496070314,0.61509280771208,55.0675022155338,0.337723859715424,2.8592369060962
Copalis,Mocrocks,156,0.959367392927485,0.47641631393786,38.7756214089205,0.435093901112359,2.03667950601613
Copalis,Twin Harbors,190,1.01483295858579,0.445967245794639,37.2842738091348,0.505731155629708,1.97733516883067
Long Beach,Copalis,186,0.989364718070019,0.61509280771208,56.8830546272137,0.349743666874155,2.96099896774433
Long Beach,Copalis+Mocrocks,97,0.984608296881598,0.425059856739565,37.0738926111162,0.488610064074935,2.04662178191777
Long Beach,Mocrocks,246,1.00101372927369,0.641130184302258,57.9488583064428,0.369209976078398,3.21423598099951
Long Beach,Twin Harbors,321,1.03418613355446,0.550085643233158,50.2484321542968,0.436504080884021,2.42231188799752
Mocrocks,Copalis,156,1.04235354189861,0.47641631393786,43.217948472467,0.490995268055729,2.2983544412905
Mocrocks,Long Beach,246,0.998987297332646,0.641130184302258,55.3369329625378,0.311115924876505,2.70848586113952
Mocrocks,Twin Harbors,258,1.02395929840815,0.531879195876539,46.4589484622543,0.438537679920998,2.31567120176185
Twin Harbors,Copalis,190,0.985383842276411,0.445967245794639,37.1838781648438,0.505731155629708,1.97733516883067
Twin Harbors,Copalis+Mocrocks,78,1.01626875727167,0.36814315695286,30.2316540194322,0.561342725999279,2.06475764201763
Twin Harbors,Long Beach,321,0.966943925812498,0.550085643233158,45.6023688204382,0.412828754610407,2.2909293264218
Twin Harbors,Mocrocks,258,0.976601317605696,0.531879195876539,45.3296664153643,0.431840236748276,2.28030576569874
By absolute lag between dig day and reference day (days),,,,,,,
lagbin,n,median ratio (imputed/actual),sd of log error,MAPE %,5th pct ratio,95th pct ratio,
1,1927,1.00014122103977,0.492531224529314,41.9842408922974,0.443369575284481,2.26114697778182,
2,482,1,0.571414360659427,49.2766256789744,0.409282486540675,2.44330024588193,
3,118,1,0.595259512162874,54.5365963822018,0.440397218146988,2.27067737668187,
4-5,320,1,0.741988133639273,70.9855692440945,0.291374139100172,3.43201357226905,
6+,42,1,0.591561298107352,53.0760486107009,0.37660612451715,2.65529404568794,
By size of the imputed value (terciles of the imputed effort),,,,,,,
hatbin,n,median ratio (imputed/actual),sd of log error,MAPE %,5th pct ratio,95th pct ratio,
small,963,0.82451336837305,0.584777208906485,44.49101717088,0.301750442663337,2.05694024006823,
mid,963,0.984095417309778,0.47413196096747,40.6523233888545,0.462291211234514,2.23438043338851,
large,963,1.22791007253667,0.484589123869159,56.118196667246,0.581645165477041,2.84684717102368,
By season part,,,,,,,
season_part,n,median ratio (imputed/actual),sd of log error,MAPE %,5th pct ratio,95th pct ratio,
Fall,798,1.00155217643904,0.616306260120357,55.0373680224966,0.37660612451715,2.65529404568794,
Spring,1105,1.00014122103977,0.507789088739062,43.2143371928571,0.449233730980471,2.26929941322911,
Winter,986,0.995862189745641,0.521914857097466,44.9931014903882,0.432370985235223,2.31282864518758,
By era,,,,,,,
era,n,median ratio (imputed/actual),sd of log error,MAPE %,5th pct ratio,95th pct ratio,
2007-08 to 2018-19,2059,1.00014122103977,0.499887465254967,42.5946934559262,0.438425393590597,2.28706571484859,
2019-20 onward,830,1,0.641767665249329,58.2317909925664,0.311137342849229,3.21401472045282,
"Long Beach section-ratio rule, by which half was walked",,,,,,,
walked,n,median ratio (imputed/actual),sd of log error,MAPE %,5th pct ratio,95th pct ratio,
north4,48,0.997450598878294,0.308688681461047,25.2972837614395,0.610422243652225,1.68077491770121,
south3,48,1.00258061739975,0.253382984927212,20.9199796702185,0.688532057996237,1.4746274783772,
Tide-series SUMS (what a season total is built from),,,,,,,
mbin,n,median ratio (imputed/actual),sd of log error,MAPE %,5th pct ratio,95th pct ratio,
2,874,1.01534475984519,0.256378329725872,17.9913015975595,0.772819693507082,1.57055015843599,
3-4,308,1.03077899858765,0.206846813312686,16.4170303196334,0.770968023210145,1.48028376244744,
5+,26,1.06641632840734,0.153299321613918,12.8168811126767,0.790884330212321,1.33851383204827,
