target,donor,cf_model,m_counted,pct_counted,imputed_share,imputed_eff_share,cv_eff,cv_harv
Long Beach,Copalis,single,1,0.009708737864077669,0.9902912621359223,0.9413213339360018,0.07425261863349128,0.16183702920944826
Long Beach,Copalis,single,8,0.07766990291262135,0.9223300970873787,0.7154784309771771,0.06595088394177952,0.13011768626924816
Long Beach,Copalis,single,15,0.14563106796116504,0.854368932038835,0.5570417763641223,0.06395048545763915,0.11261491387088382
Long Beach,Copalis,single,21,0.20388349514563106,0.7961165048543689,0.45181469171520766,0.061159159918490844,0.09817733062604406
Long Beach,Copalis,single,28,0.27184466019417475,0.7281553398058253,0.3579140789735236,0.0597467560078952,0.08609665423294668
Long Beach,Copalis,single,35,0.33980582524271846,0.6601941747572815,0.283440438570392,0.05907562535145123,0.08095527333163613
Long Beach,Copalis,single,42,0.4077669902912621,0.5922330097087378,0.21709216539368892,0.06001600187157697,0.07375043684026479
Long Beach,Copalis,single,49,0.47572815533980584,0.5242718446601942,0.15846771936281262,0.05751818774962743,0.06686611628240284
Long Beach,Copalis,single,55,0.5339805825242718,0.46601941747572817,0.11726349856966539,0.05665607699732018,0.06358376593890866
Long Beach,Copalis,single,62,0.6019417475728155,0.3980582524271845,0.08010965152620107,0.05651334946359928,0.06203452822914072
Long Beach,Copalis,single,69,0.6699029126213593,0.33009708737864074,0.05353254654822651,0.05566449490791322,0.06156409393744302
Long Beach,Copalis,single,76,0.7378640776699029,0.2621359223300971,0.0333656986958377,0.05753453550732076,0.06276545848586734
Long Beach,Copalis,single,83,0.8058252427184466,0.19417475728155342,0.018970613794528357,0.05727207540616601,0.06302601018379446
Long Beach,Copalis,single,89,0.8640776699029126,0.13592233009708743,0.009856089387978644,0.056999518052512736,0.06269132735752057
Long Beach,Copalis,single,96,0.9320388349514563,0.06796116504854366,0.003075127494966346,0.05671100423714919,0.062467205509047864
Long Beach,Copalis,single,103,1,0,0,0.05690504262713544,0.06165665224396037
Long Beach,Mocrocks,single,1,0.009708737864077669,0.9902912621359223,0.9413213339360018,0.07338393313151531,0.16348469626068052
Long Beach,Mocrocks,single,8,0.07766990291262135,0.9223300970873787,0.7154784309771771,0.06709362057226459,0.13208700511395685
Long Beach,Mocrocks,single,15,0.14563106796116504,0.854368932038835,0.5570417763641223,0.06269222042067099,0.11029202093048615
Long Beach,Mocrocks,single,21,0.20388349514563106,0.7961165048543689,0.45181469171520766,0.06257899636616876,0.0982041736621491
Long Beach,Mocrocks,single,28,0.27184466019417475,0.7281553398058253,0.3579140789735236,0.05954268602905899,0.08670146497284037
Long Beach,Mocrocks,single,35,0.33980582524271846,0.6601941747572815,0.283440438570392,0.06017691932505485,0.08003117888865016
Long Beach,Mocrocks,single,42,0.4077669902912621,0.5922330097087378,0.21709216539368892,0.05690965353364103,0.07261328025467552
Long Beach,Mocrocks,single,49,0.47572815533980584,0.5242718446601942,0.15846771936281262,0.058770432328153883,0.0692377259778229
Long Beach,Mocrocks,single,55,0.5339805825242718,0.46601941747572817,0.11726349856966539,0.055924639114963294,0.06362381135834523
Long Beach,Mocrocks,single,62,0.6019417475728155,0.3980582524271845,0.08010965152620107,0.05665211964441934,0.06332585083160953
Long Beach,Mocrocks,single,69,0.6699029126213593,0.33009708737864074,0.05353254654822651,0.05746590964143479,0.0631106654230529
Long Beach,Mocrocks,single,76,0.7378640776699029,0.2621359223300971,0.0333656986958377,0.05624003170670302,0.06226396465909922
Long Beach,Mocrocks,single,83,0.8058252427184466,0.19417475728155342,0.018970613794528357,0.055867955862811305,0.06141211910527628
Long Beach,Mocrocks,single,89,0.8640776699029126,0.13592233009708743,0.009856089387978644,0.058328641475826386,0.06390351411647169
Long Beach,Mocrocks,single,96,0.9320388349514563,0.06796116504854366,0.003075127494966346,0.05747359235504023,0.06302514330074332
Long Beach,Mocrocks,single,103,1,0,0,0.05748433133304214,0.06351808209938285
Long Beach,Copalis+Mocrocks (unavailable),single,1,0.009708737864077669,0.9902912621359223,0.9413213339360018,0.06440403855683943,0.16096028043159002
Long Beach,Copalis+Mocrocks (unavailable),single,8,0.07766990291262135,0.9223300970873787,0.7154784309771771,0.06196002736592056,0.12561116585956258
Long Beach,Copalis+Mocrocks (unavailable),single,15,0.14563106796116504,0.854368932038835,0.5570417763641223,0.06028387075669944,0.10761891810006906
Long Beach,Copalis+Mocrocks (unavailable),single,21,0.20388349514563106,0.7961165048543689,0.45181469171520766,0.05882492563768733,0.09524751751705535
Long Beach,Copalis+Mocrocks (unavailable),single,28,0.27184466019417475,0.7281553398058253,0.3579140789735236,0.058250381498391804,0.08357519673791854
Long Beach,Copalis+Mocrocks (unavailable),single,35,0.33980582524271846,0.6601941747572815,0.283440438570392,0.05818651078944797,0.07725550555125434
Long Beach,Copalis+Mocrocks (unavailable),single,42,0.4077669902912621,0.5922330097087378,0.21709216539368892,0.05541488866153276,0.07090976800724097
Long Beach,Copalis+Mocrocks (unavailable),single,49,0.47572815533980584,0.5242718446601942,0.15846771936281262,0.05748051737766331,0.06732678776591433
Long Beach,Copalis+Mocrocks (unavailable),single,55,0.5339805825242718,0.46601941747572817,0.11726349856966539,0.05641266321741797,0.06391021866822359
Long Beach,Copalis+Mocrocks (unavailable),single,62,0.6019417475728155,0.3980582524271845,0.08010965152620107,0.0564934896025188,0.06221392600106312
Long Beach,Copalis+Mocrocks (unavailable),single,69,0.6699029126213593,0.33009708737864074,0.05353254654822651,0.05635450846366029,0.06263715387855898
Long Beach,Copalis+Mocrocks (unavailable),single,76,0.7378640776699029,0.2621359223300971,0.0333656986958377,0.05606450537539311,0.061496422854769014
Long Beach,Copalis+Mocrocks (unavailable),single,83,0.8058252427184466,0.19417475728155342,0.018970613794528357,0.05643593129092772,0.06166743766726339
Long Beach,Copalis+Mocrocks (unavailable),single,89,0.8640776699029126,0.13592233009708743,0.009856089387978644,0.056870326385941826,0.06251871412587413
Long Beach,Copalis+Mocrocks (unavailable),single,96,0.9320388349514563,0.06796116504854366,0.003075127494966346,0.056470936879243164,0.06202485224451695
Long Beach,Copalis+Mocrocks (unavailable),single,103,1,0,0,0.056667722725739486,0.0621552085425255
Twin Harbors,Copalis,single,1,0.009708737864077669,0.9902912621359223,0.9544565203961372,0.06385027090192631,0.15993998117178998
Twin Harbors,Copalis,single,8,0.07766990291262135,0.9223300970873787,0.7567379570367583,0.05833400012131816,0.1318308769718713
Twin Harbors,Copalis,single,15,0.14563106796116504,0.854368932038835,0.5988922861492916,0.05747374030145228,0.11119392417771247
Twin Harbors,Copalis,single,21,0.20388349514563106,0.7961165048543689,0.48330649710801116,0.05460275971216377,0.09324348735151758
Twin Harbors,Copalis,single,28,0.27184466019417475,0.7281553398058253,0.3781765040583575,0.05370634315205672,0.08454475623348474
Twin Harbors,Copalis,single,35,0.33980582524271846,0.6601941747572815,0.2989664457811486,0.054429875255439436,0.07592424443603396
Twin Harbors,Copalis,single,42,0.4077669902912621,0.5922330097087378,0.22833237786272428,0.05215664150956385,0.06836104353435724
Twin Harbors,Copalis,single,49,0.47572815533980584,0.5242718446601942,0.16797577892033602,0.0524569039692132,0.0626032907923134
Twin Harbors,Copalis,single,55,0.5339805825242718,0.46601941747572817,0.12446829495999273,0.052396994034286284,0.06012181245048188
Twin Harbors,Copalis,single,62,0.6019417475728155,0.3980582524271845,0.08575571831469282,0.05287075817623045,0.05957926805508408
Twin Harbors,Copalis,single,69,0.6699029126213593,0.33009708737864074,0.05738614170744585,0.05161792121171847,0.057395422746012593
Twin Harbors,Copalis,single,76,0.7378640776699029,0.2621359223300971,0.03756617459108621,0.051932461082745025,0.05790523344566574
Twin Harbors,Copalis,single,83,0.8058252427184466,0.19417475728155342,0.02047583298674239,0.05204578704226192,0.05699980437158227
Twin Harbors,Copalis,single,89,0.8640776699029126,0.13592233009708743,0.010593310952308692,0.051901254696832454,0.05685720494214613
Twin Harbors,Copalis,single,96,0.9320388349514563,0.06796116504854366,0.0029135547047116324,0.05302513021156465,0.05816141260444094
Twin Harbors,Copalis,single,103,1,0,0,0.05154333003402587,0.057208817531618265
Twin Harbors,Mocrocks,single,1,0.009708737864077669,0.9902912621359223,0.9544565203961372,0.06531794032362073,0.15963226941055053
Twin Harbors,Mocrocks,single,8,0.07766990291262135,0.9223300970873787,0.7567379570367583,0.060592192756249046,0.13571018885470476
Twin Harbors,Mocrocks,single,15,0.14563106796116504,0.854368932038835,0.5988922861492916,0.05896522967767847,0.11402289359699606
Twin Harbors,Mocrocks,single,21,0.20388349514563106,0.7961165048543689,0.48330649710801116,0.055965837424862074,0.09544938649940855
Twin Harbors,Mocrocks,single,28,0.27184466019417475,0.7281553398058253,0.3781765040583575,0.054875003936308425,0.08468432900629314
Twin Harbors,Mocrocks,single,35,0.33980582524271846,0.6601941747572815,0.2989664457811486,0.05460884062323182,0.07707807996463424
Twin Harbors,Mocrocks,single,42,0.4077669902912621,0.5922330097087378,0.22833237786272428,0.05341076634370483,0.07047985775604404
Twin Harbors,Mocrocks,single,49,0.47572815533980584,0.5242718446601942,0.16797577892033602,0.05321436416389056,0.06422282634651343
Twin Harbors,Mocrocks,single,55,0.5339805825242718,0.46601941747572817,0.12446829495999273,0.05225261885172024,0.06025076213721358
Twin Harbors,Mocrocks,single,62,0.6019417475728155,0.3980582524271845,0.08575571831469282,0.05217136795102338,0.05817585987394362
Twin Harbors,Mocrocks,single,69,0.6699029126213593,0.33009708737864074,0.05738614170744585,0.05188611428794107,0.05833366359177939
Twin Harbors,Mocrocks,single,76,0.7378640776699029,0.2621359223300971,0.03756617459108621,0.05105548981890074,0.056161274446932204
Twin Harbors,Mocrocks,single,83,0.8058252427184466,0.19417475728155342,0.02047583298674239,0.052192327578927805,0.05762920905687381
Twin Harbors,Mocrocks,single,89,0.8640776699029126,0.13592233009708743,0.010593310952308692,0.052732080518411314,0.05805036290049849
Twin Harbors,Mocrocks,single,96,0.9320388349514563,0.06796116504854366,0.0029135547047116324,0.052485955378843686,0.056615974584006815
Twin Harbors,Mocrocks,single,103,1,0,0,0.05244737331250518,0.05812235792752827
Twin Harbors,Copalis+Mocrocks (unavailable),single,1,0.009708737864077669,0.9902912621359223,0.9544565203961372,0.05788330627909951,0.15772084259886704
Twin Harbors,Copalis+Mocrocks (unavailable),single,8,0.07766990291262135,0.9223300970873787,0.7567379570367583,0.05538382661246426,0.12929730598177477
Twin Harbors,Copalis+Mocrocks (unavailable),single,15,0.14563106796116504,0.854368932038835,0.5988922861492916,0.05545849563849687,0.10910989660887983
Twin Harbors,Copalis+Mocrocks (unavailable),single,21,0.20388349514563106,0.7961165048543689,0.48330649710801116,0.053819815403983465,0.09414518280476517
Twin Harbors,Copalis+Mocrocks (unavailable),single,28,0.27184466019417475,0.7281553398058253,0.3781765040583575,0.05380166501180537,0.0832714461893963
Twin Harbors,Copalis+Mocrocks (unavailable),single,35,0.33980582524271846,0.6601941747572815,0.2989664457811486,0.054566393297805035,0.07641891809226184
Twin Harbors,Copalis+Mocrocks (unavailable),single,42,0.4077669902912621,0.5922330097087378,0.22833237786272428,0.05224938289230969,0.06795544721474502
Twin Harbors,Copalis+Mocrocks (unavailable),single,49,0.47572815533980584,0.5242718446601942,0.16797577892033602,0.05288109863676997,0.06265635327153267
Twin Harbors,Copalis+Mocrocks (unavailable),single,55,0.5339805825242718,0.46601941747572817,0.12446829495999273,0.0521376311446365,0.06042558151561203
Twin Harbors,Copalis+Mocrocks (unavailable),single,62,0.6019417475728155,0.3980582524271845,0.08575571831469282,0.05094132243243067,0.05814062992558509
Twin Harbors,Copalis+Mocrocks (unavailable),single,69,0.6699029126213593,0.33009708737864074,0.05738614170744585,0.05281440783909314,0.05862280386344258
Twin Harbors,Copalis+Mocrocks (unavailable),single,76,0.7378640776699029,0.2621359223300971,0.03756617459108621,0.05187343999703371,0.05677143226412989
Twin Harbors,Copalis+Mocrocks (unavailable),single,83,0.8058252427184466,0.19417475728155342,0.02047583298674239,0.0512277725508365,0.056135738004525426
Twin Harbors,Copalis+Mocrocks (unavailable),single,89,0.8640776699029126,0.13592233009708743,0.010593310952308692,0.05258955579726692,0.057879282890053084
Twin Harbors,Copalis+Mocrocks (unavailable),single,96,0.9320388349514563,0.06796116504854366,0.0029135547047116324,0.05190189561283399,0.057382251613570384
Twin Harbors,Copalis+Mocrocks (unavailable),single,103,1,0,0,0.05173577790965132,0.056086404357127105
