target,donor,n,sd_log,median_ratio,mape
Long Beach,Copalis,273,0.47600583922027073,0.9999999999999999,55.67650968289877
Long Beach,Mocrocks,323,0.47358704181982436,1,71.33399116773235
Long Beach,Twin Harbors,385,0.4480173393497446,1,29.081915737428453
Long Beach,Copalis+Mocrocks,135,0.4037566265624017,1.0000000000000002,46.52073080257155
Twin Harbors,Copalis,278,0.4328280538465954,1,43.840361570153014
Twin Harbors,Mocrocks,336,0.4644962677263502,1.0000000000000002,37.02898178641679
Twin Harbors,Long Beach,385,0.4480173393497446,1,31.227943725617347
Twin Harbors,Copalis+Mocrocks,115,0.3823532497454795,1.0059612518628913,41.05012840905719
Copalis,Mocrocks,192,0.25586759113750696,1.0000000000000002,12.717120781587479
